hatchery,rel_group,mig_year,hat_release,pit_rel,pit_ral,ral_exp,rel_site
McCall (Int),SFSR-Knox,2013,"253,849","25,952","18,208",13.5,KNOXB
McCall (Int),SFSR-Knox,2012,"241,265","25,962","18,102",12.9,KNOXB
Imnaha (Volitional),Imnaha Weir,2011,"252,588","20,757","14,570",16.9,IMNAHW
Imnaha (Volitional),Imnaha Weir,2012,"332,877","14,881","10,430",31.5,IMNAHW
Imnaha (Direct),Imnaha River,2012,"136,933","5,938","4,120",32.8,IMNAHR
Imnaha (Volitional),Imnaha Weir,2013,"223,626","11,956","8,367",26.3,IMNAHW
Imnaha (Direct),Imnaha River,2013,"166,979","8,940","6,272",26.2,IMNAHR
McCall (Seg),SFSR-Knox,2014,"813,873","27,925","18,175",44.2,KNOXB
McCall (Int),SFSR-Knox,2014,"234,012","25,947","18,129",12.5,KNOXB
Rapid River,Rapid R. Hat,2014,"2,498,849","51,974","36,423",68.2,RAPH
Dworshak,NF-DHFH,2014,"2,040,460","51,762","36,233",55.9,DWORNF
Clearwater Hat.,Powell (summers),2014,"492,244","25,470","17,830",27.2,POWP
Clearwater Hat.,Red,2014,"1,190,867","17,082","11,959",99.2,REDR
